      DIRS,      DIRR,      VELS,      VELR,      TEMP,        HR,        PB,      PREC,   RAD-SOL,    TEMPCOMB,     HUMCOMB,     HUMSUBS,    TEMPSUBS
81,86,2,5.4,19.6,52,929.9,0,0,22.5,18,2,21.9
87,72,2.6,5,20.6,49,929.9,0,0,23.8,18,2,21.9
67,57,3.2,7.2,21.5,46,929.8,0,0,25.3,18,3,21.9
79,60,2.6,5.4,22.6,40,929.8,0,0,26.8,17,3,21.9
78,90,4.2,7.2,23.5,36,929.7,0,0,28,17,2,21.9
37,31,6.1,11.5,24.1,38,929.6,0,0,28.9,16,3,21.9
29,28,8.3,17.3,25,38,929.6,0,0,29.2,16,3,21.9
31,35,12.1,27.4,25.9,43,929.5,0,0,28.5,15,3,21.9
28,27,14.2,26.3,25.5,52,929.5,0,0,27.7,14,2,21.9
29,20,18.6,34.9,25.1,56,929.5,0,0,28.5,14,2,22
24,27,23.3,41.4,25.1,53,929.5,0,0,29.5,14,2,22
22,19,26.4,43.6,25.1,53,929.4,0,0,30.1,14,2,22.1
24,38,27.8,45.7,25.1,53,929.4,0,0,30.8,14,2,22.1
30,24,25.9,47.2,25.5,51,929.4,0,0,31.1,14,2,22.1
24,21,26.5,49.3,25.8,48,929.3,0,0,31.4,14,2,22.1
14,14,26.5,49.3,25.8,44,929.5,0,0,31.8,13,2,22.4
9,28,27.9,54,25.8,44,929.5,0,0,31.7,13,2,22.4
20,33,25.6,47.5,25.9,47,929.4,0,0,32.2,13,2,22.4
17,22,25.9,41.8,26.3,45,929.4,0,0,32.6,13,2,22.5
358,11,23.4,43.9,26.5,42,929.4,0,0,31.2,12,2,22.6
353,342,24.8,43.9,26.5,41,929.3,0,0,30.5,12,2,22.6
9,10,25.3,43.2,26.7,43,929.2,0,0,30.2,12,2,22.7
9,22,26.6,54.7,26.7,45,929.2,0,0,29.6,12,2,22.8
2,359,30.8,50.4,26.6,45,929.1,0,0,30.6,12,2,22.8
1,10,31,52.2,26.7,45,929.1,0,0,32,13,2,22.9
2,338,29.4,51.1,26.8,44,929.1,0,0,31.3,12,2,23
8,3,25.7,54,27.2,43,928.9,0,0,30.9,12,2,23
3,15,21,49.3,27.4,44,928.8,0,0,33.9,13,2,23.1
3,326,24.7,49.3,27.6,44,928.7,0,0,35.6,12,2,23.3
1,27,28.5,53.3,27.4,45,928.7,0,0,36.1,11,2,23.3
5,22,24.7,52.6,27.3,45,928.7,0,0,36.8,12,2,23.4
